file,type,class_name,species,start,length,label
nips4b_birds_trainfile217.wav,bird,Carcar_song,Carduelis carduelis,1.11600907,0.047891156,29
nips4b_birds_trainfile086.wav,bird,Turphi_song,Turdus philomelos,0.12770975099999998,0.371519274,36
nips4b_birds_trainfile508.wav,bird,Sylmel_song,Sylvia melanocephala,0.8591383220000001,0.040634921000000004,3
nips4b_birds_trainfile160.wav,bird,Parmaj_song,Parus major,3.3828571430000003,0.068571429,68
nips4b_birds_trainfile660.wav,bird,Trotro_song,Troglodytes troglodytes,1.94122449,0.155102041,50
nips4b_birds_trainfile472.wav,bird,Oriori_song,Oriolus oriolus,2.481632653,0.11224489800000001,28
nips4b_birds_trainfile488.wav,bird,Sylund_song,Sylvia undata,1.95755102,0.053877550999999996,20
nips4b_birds_trainfile683.wav,bird,Phycol_song,Phylloscopus collybita,0.78585034,0.180680272,60
nips4b_birds_trainfile110.wav,bird,Turmer_song,Turdus merula,0.10739229,0.145124717,13
nips4b_birds_trainfile356.wav,bird,Musstr_call,Muscicapa striata,4.835555556,0.168344671,77
nips4b_birds_trainfile266.wav,bird,Denmaj_call,Dendrocopos major,1.2734693879999999,0.039183672999999995,85
nips4b_birds_trainfile637.wav,bird,Sylmel_song,Sylvia melanocephala,2.825578231,0.085623583,3
nips4b_birds_trainfile393.wav,bird,Sylmel_call,Sylvia melanocephala,1.576054422,0.021768707,30
nips4b_birds_trainfile502.wav,bird,Turphi_song,Turdus philomelos,3.012244898,0.12244898,36
nips4b_birds_trainfile676.wav,bird,Pyrpyr_call,Pyrrhula pyrrhula,2.6760997730000002,0.238004535,52
nips4b_birds_trainfile202.wav,bird,Sylund_song,Sylvia undata,3.30122449,0.06367346900000001,20
nips4b_birds_trainfile043.wav,bird,Parcae_call,Cyanistes caeruleus,3.7587301589999997,0.089977324,23
nips4b_birds_trainfile049.wav,insect,Tibtom_song,Tibicina tomentosa,0.24380952399999997,1.2930612240000001,45
nips4b_birds_trainfile468.wav,bird,Prumod_song,Prunella modularis,1.182040816,0.146938776,7
nips4b_birds_trainfile535.wav,bird,Prumod_song,Prunella modularis,1.2,0.10204081599999999,7
nips4b_birds_trainfile319.wav,bird,Parate_song,Periparus ater,2.8930612239999998,0.081632653,10
nips4b_birds_trainfile448.wav,bird,Carcan_song,Linaria cannabina,4.577959184,0.111020408,16
nips4b_birds_trainfile255.wav,bird,Motcin_call,Motacilla cinerea,0.489795918,0.04244898,81
nips4b_birds_trainfile188.wav,bird,Cetcet_song,Cettia cetti,1.585714286,0.1,25
nips4b_birds_trainfile368.wav,bird,Alaarv_song,Alauda arvensis,2.005079365,0.06095238099999999,47
nips4b_birds_trainfile560.wav,bird,Sylcan_call,Sylvia cantillans,1.590566893,0.036281179,42
nips4b_birds_trainfile097.wav,bird,Sylund_song,Sylvia undata,0.43755102,0.034285714,20
nips4b_birds_trainfile226.wav,bird,Loxcur_call,Loxia curvirostra,0.412154195,0.078367347,66
nips4b_birds_trainfile292.wav,bird,Sylmel_song,Sylvia melanocephala,1.468662132,0.08707483,3
nips4b_birds_trainfile262.wav,bird,Loxcur_call,Loxia curvirostra,3.833650794,0.082539683,66
nips4b_birds_trainfile653.wav,bird,Turphi_song,Turdus philomelos,3.3814058960000004,0.061678005,36
nips4b_birds_trainfile469.wav,insect,Plaaff_song,Platycleis affinis,3.7638095239999996,1.240090703,61
nips4b_birds_trainfile272.wav,bird,Lusmeg_song,Luscinia megarhynchos,3.247891156,0.145124717,34
nips4b_birds_trainfile236.wav,bird,Strtur_song,Streptopelia turtur,1.8430839,0.8214058959999999,79
nips4b_birds_trainfile326.wav,bird,Regign_song,Regulus ignicapillus,1.306122449,0.12408163300000001,37
nips4b_birds_trainfile435.wav,bird,Sylcan_call,Sylvia cantillans,3.8574149660000003,0.027573696,42
nips4b_birds_trainfile351.wav,bird,Carcar_call,Carduelis carduelis,2.267936508,0.066031746,76
nips4b_birds_trainfile123.wav,bird,Fricoe_song,Fringilla coelebs,0.39591836700000005,0.14285714300000002,12
nips4b_birds_trainfile346.wav,bird,Sylcan_call,Sylvia cantillans,0.510839002,0.021768707,42
nips4b_birds_trainfile106.wav,bird,Fricoe_call,Fringilla coelebs,2.2320181409999997,0.104489796,70
nips4b_birds_trainfile053.wav,bird,Gargla_call,Garrulus glandarius,4.29569161,0.5456689339999999,11
nips4b_birds_trainfile262.wav,bird,Loxcur_call,Loxia curvirostra,0.18031746,0.10285714300000001,66
nips4b_birds_trainfile212.wav,bird,Lusmeg_call,Luscinia megarhynchos,0.863265306,0.17551020399999998,46
nips4b_birds_trainfile322.wav,bird,Pasdom_call,Passer domesticus,1.681269841,0.22349206300000002,18
nips4b_birds_trainfile473.wav,bird,Parcae_call,Cyanistes caeruleus,4.90521542,0.098684807,23
nips4b_birds_trainfile542.wav,bird,Fricoe_song,Fringilla coelebs,0.989795918,0.09387755099999999,12
nips4b_birds_trainfile472.wav,bird,Cetcet_song,Cettia cetti,0.7428571429999999,0.089795918,25
nips4b_birds_trainfile071.wav,bird,Lularb_song,lullula arborea,1.526530612,0.1,57
nips4b_birds_trainfile517.wav,bird,Sylcan_call,Sylvia cantillans,0.0,0.034829932,42
nips4b_birds_trainfile156.wav,bird,Lopcri_call,Lophophanes cristatus,4.308752834,0.081269841,39
nips4b_birds_trainfile377.wav,bird,Carcar_song,Carduelis carduelis,1.0526984129999999,0.035555556,29
nips4b_birds_trainfile626.wav,bird,Parmaj_call,Parus major,0.580498866,0.464399093,26
nips4b_birds_trainfile208.wav,bird,Sylcan_call,Sylvia cantillans,4.829750567,0.037732426,42
nips4b_birds_trainfile135.wav,bird,Trotro_song,Troglodytes troglodytes,2.555102041,0.166530612,50
nips4b_birds_trainfile577.wav,bird,Sylcan_song,Sylvia cantillans,4.920816327,0.06530612200000001,4
nips4b_birds_trainfile581.wav,bird,Carcan_call,Linaria cannabina,0.0014512470000000001,0.055147392,21
nips4b_birds_trainfile175.wav,bird,Sylmel_song,Sylvia melanocephala,1.16244898,0.115918367,3
nips4b_birds_trainfile226.wav,bird,Parcae_call,Cyanistes caeruleus,3.1579138319999998,0.078367347,23
nips4b_birds_trainfile447.wav,bird,Poepal_call,Poecile palustris,4.471292517,0.222040816,80
nips4b_birds_trainfile356.wav,bird,Trotro_song,Troglodytes troglodytes,2.6993197280000003,0.12190476199999999,50
nips4b_birds_trainfile218.wav,amphibian,Pelgra_call,Pelophylax kl. grafi,1.4599546490000002,0.255419501,49
nips4b_birds_trainfile410.wav,bird,Lularb_song,lullula arborea,2.791836735,0.036734694,57
nips4b_birds_trainfile495.wav,bird,Carcan_song,Linaria cannabina,4.9523809519999995,0.051519275,16
nips4b_birds_trainfile393.wav,bird,Sylmel_call,Sylvia melanocephala,3.516371882,0.02031746,30
nips4b_birds_trainfile103.wav,bird,Hirrus_call,Hirundo rustica,2.359727891,0.031927437999999995,27
nips4b_birds_trainfile153.wav,bird,Denmaj_drum,Dendrocopos major,3.1216326530000003,0.7804081629999999,65
nips4b_birds_trainfile205.wav,bird,Carcan_song,Linaria cannabina,0.605170068,0.091428571,16
nips4b_birds_trainfile026.wav,bird,Serser_song,Serinus serinus,2.316190476,2.565804989,32
nips4b_birds_trainfile307.wav,bird,Fricoe_song,Fringilla coelebs,1.6907029480000002,1.6471655330000001,12
nips4b_birds_trainfile586.wav,bird,Carcar_call,Carduelis carduelis,0.5834013610000001,0.041360544,76
nips4b_birds_trainfile633.wav,bird,Parate_song,Periparus ater,2.8038095239999996,0.039183672999999995,10
nips4b_birds_trainfile228.wav,bird,Sylund_song,Sylvia undata,4.189387755,0.014693878,20
nips4b_birds_trainfile208.wav,bird,Sylcan_call,Sylvia cantillans,4.136054422,0.023219955,42
nips4b_birds_trainfile384.wav,bird,Colpal_song,Columba palumbus,3.874829932,0.265578231,63
nips4b_birds_trainfile663.wav,bird,Oriori_song,Oriolus oriolus,0.004081633,0.051020407999999996,28
nips4b_birds_trainfile468.wav,bird,Turphi_song,Turdus philomelos,4.4146938780000005,0.326530612,36
nips4b_birds_trainfile296.wav,bird,Sylund_call,Sylvia undata,1.430929705,0.133514739,38
nips4b_birds_trainfile673.wav,bird,Lularb_song,lullula arborea,1.6,0.073469388,57
nips4b_birds_trainfile188.wav,bird,Cetcet_song,Cettia cetti,1.73877551,0.214285714,25
nips4b_birds_trainfile176.wav,bird,Turphi_song,Turdus philomelos,3.1709750569999997,0.20680272100000002,36
nips4b_birds_trainfile198.wav,bird,Alaarv_song,Alauda arvensis,1.62031746,0.052063492,47
nips4b_birds_trainfile245.wav,bird,Serser_song,Serinus serinus,0.014512472,2.4380952380000003,32
nips4b_birds_trainfile376.wav,bird,Sylcan_call,Sylvia cantillans,0.528253968,0.06675737,42
nips4b_birds_trainfile539.wav,bird,Lularb_song,lullula arborea,3.92707483,0.139319728,57
nips4b_birds_trainfile312.wav,bird,Alaarv_song,Alauda arvensis,1.211428571,0.063492063,47
nips4b_birds_trainfile047.wav,bird,Erirub_song,Erithacus rubecula,4.648979592,0.081632653,44
nips4b_birds_trainfile332.wav,bird,Carcar_song,Carduelis carduelis,0.49777777799999995,0.027573696,29
nips4b_birds_trainfile316.wav,bird,Turmer_call,Turdus merula,0.858412698,0.523174603,6
nips4b_birds_trainfile524.wav,bird,Motcin_call,Motacilla cinerea,0.0,0.040634921000000004,81
